Release Date,Company,Content,Link ID
28 Feb 2020,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2019,3029423
08 Nov 2019,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/09/2019,3000789
09 Aug 2019,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/06/2019,2977621
29 May 2019,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/03/2019,2958282
19 Mar 2019,SAMCHEM HOLDINGS BERHAD,"Quarterly rpt on consolidated results for the financial period ended 31/12/2018
          
(Amended Announcement)",2937692
20 Feb 2019,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2018,2929058
09 Nov 2018,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/09/2018,2903921
10 Aug 2018,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/06/2018,2879917
17 May 2018,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/03/2018,2856769
23 Feb 2018,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2017,2831617
10 Nov 2017,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/09/2017,2805011
15 Aug 2017,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/06/2017,2782367
04 May 2017,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/03/2017,2757194
23 Feb 2017,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2016,2737537
14 Nov 2016,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/09/2016,2714841
22 Aug 2016,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/06/2016,2694603
30 May 2016,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/03/2016,2675704
26 Feb 2016,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2015,2650787
26 Nov 2015,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/09/2015,2629779
20 Aug 2015,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/06/2015,2604664
21 May 2015,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/03/2015,2581802
27 Feb 2015,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2014,2557594
24 Nov 2014,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/9/2014,2448687
22 Aug 2014,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/6/2014,2447987
21 May 2014,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/3/2014,2260260
27 Feb 2014,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2013,2260875
25 Nov 2013,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/9/2013,2259833
23 Aug 2013,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/6/2013,600822
22 May 2013,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/3/2013,598784
25 Feb 2013,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2012,598656
23 Nov 2012,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/9/2012,606420
17 Aug 2012,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/6/2012,605210
24 May 2012,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/3/2012,604391
24 Feb 2012,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2011,603174
23 Nov 2011,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/9/2011,602769
22 Aug 2011,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/6/2011,601599
26 May 2011,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/3/2011,595937
25 Feb 2011,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2010,593806
24 Nov 2010,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/9/2010,596635
26 Aug 2010,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/6/2010,596861
25 May 2010,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/3/2010,594263
25 Feb 2010,SAMCHEM HOLDINGS BERHAD,"Quarterly rpt on consolidated results for the financial period ended 31/12/2009
          
(Amended Announcement)",592502
24 Feb 2010,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/12/2009,592511
19 Nov 2009,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/9/2009,590098
21 Aug 2009,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 30/6/2009,589723
18 Jun 2009,SAMCHEM HOLDINGS BERHAD,Quarterly rpt on consolidated results for the financial period ended 31/3/2009,580056
